,method,pairs,abs_trans_rmse,abs_trans_mean,abs_trans_median,abs_trans_min,abs_trans_max,scene
0,per-instance,0.0,0.0,0.0,0.0,0.0,0.0,scene0314_00
1,per-class,0.0,1.953008978358307e-17,8.014300426670426e-18,2.729434556418477e-17,5.577342947811704e-17,1.8628701024340775e-16,scene0314_00
2,global,0.0,3.610563186392882e-16,8.515620101228178e-16,1.4882930379397314e-15,1.3880134991728728e-15,9.840160621728393e-16,scene0314_00
3,virtual,0.0,0.0,5.311484201212962e-19,5.311484201212962e-19,0.0,0.0,scene0314_00
4,mono,0.0,1.812730147032854e-06,9.268081829328048e-07,3.791437985514152e-06,5.298870062499896e-06,1.129935872130768e-05,scene0314_00
