,method,pairs,trans_rmse,trans_mean,trans_median,trans_std,trans_min,trans_max,rot_rmse,rot_mean,rot_median,rot_std,rot_min,rot_max,scene
0,per-instance,100.0,0.00793997197473119,0.006996574147995249,0.007243333997339822,0.003753812082553054,3.878959614448864e-18,0.016330805352058306,0.21363140628787836,0.18569525837363413,0.1885333587062837,0.10562030472445062,0.0,0.3987410962443301,scene0314_00
1,per-class,100.0,0.006938097430911759,0.006067747943146501,0.006522506992821469,0.0033644659099574415,2.8750936556287107e-18,0.014408322301439833,0.20177542917717542,0.1725078352617088,0.16433063220163807,0.10466312909975735,0.0,0.3959006915311793,scene0314_00
2,global,100.0,0.006332040716129685,0.005575692703906587,0.0061680849330112975,0.0030010648947210376,2.3129646346357427e-18,0.012417246349563904,0.20671240231060453,0.18070309981981988,0.1655611319543225,0.10038130794390669,0.0,0.3920160783548485,scene0314_00
3,virtual,100.0,0.008142462284203029,0.0071688850450422545,0.007514106947144386,0.0038609298440451223,2.4532694666933987e-18,0.015854773024247978,0.2405620395535252,0.21098283456542832,0.20543312452930038,0.11556962573656164,0.0,0.418359504010257,scene0314_00
4,mono,100.0,0.008229936604778323,0.0072694487796429045,0.007505048655507509,0.0038583637287111366,3.576224061345498e-18,0.016640016068958662,0.22797890097282125,0.1978870421714707,0.200523640495327,0.11320358245915502,0.0,0.43791051967851174,scene0314_00
