,method,mean,std,max,min,scene
0,mono,0.05411620934804281,0.007281107538671206,0.06955774625142415,0.0451045831044515,scene0314_00
1,virtual,0.05560468832651774,0.007843143985438198,0.07237108548482259,0.04526583353678385,scene0314_00
2,global,0.0996917168299357,0.017845474022708065,0.13504823048909506,0.0756545861562093,scene0314_00
3,per-class,0.10104426542917888,0.021191138662089003,0.14423123995463052,0.07536705334981282,scene0314_00
4,per-instance,0.09677904446919759,0.010963798712102825,0.11968636512756348,0.08103179931640625,scene0314_00
