,method,pairs,trans_rmse,trans_mean,trans_median,trans_std,trans_min,trans_max,rot_rmse,rot_mean,rot_median,rot_std,rot_min,rot_max,scene
0,per-instance,0.0,0.0,1.0622968402425924e-18,0.0,0.0,0.0,0.0,0.0,3.3993498887762956e-17,3.3993498887762956e-17,0.0,0.0,0.0,scene0314_00
1,per-class,0.0,8.714072198011585e-17,6.761250262025392e-17,2.348629166766227e-16,5.90913061222257e-17,1.738746844665352e-18,8.136574330657297e-18,8.34245319804701e-14,8.24470251786953e-14,0.0,2.4926409617095257e-14,0.0,0.0,scene0314_00
2,global,0.0,6.630218878021251e-16,1.0045477574314592e-15,2.132285304748156e-15,4.652168888364951e-16,2.003086131649546e-18,6.309721314696069e-17,1.0178882549659794e-13,1.3475161024832824e-13,1.2509994005211491e-12,3.296278733000497e-14,0.0,6.798699777552591e-17,scene0314_00
3,virtual,0.0,0.0,0.0,1.0622968402425924e-18,0.0,0.0,0.0,3.3993498887762956e-17,0.0,0.0,1.6996749443881478e-17,0.0,0.0,scene0314_00
4,mono,0.0,1.1363724315852198e-05,9.725087728587548e-06,4.10647924129128e-17,5.916128472991608e-06,0.0,6.009258394948638e-17,0.0018705852145774907,0.0014918055745055745,0.0,0.0011591923463298176,0.0,0.0032153059945514216,scene0314_00
