,method,pairs,abs_trans_rmse,abs_trans_mean,abs_trans_median,abs_trans_min,abs_trans_max,scene
0,per-instance,10.0,0.004056230198484885,0.0035572136637886977,0.0031809673615858466,0.0011292110470969676,0.008062111180434121,scene0314_00
1,per-class,10.0,0.003935890309081419,0.0034487245128175304,0.003020330313014224,0.0009170747138937235,0.008076746456063362,scene0314_00
2,global,10.0,0.0034885054129266072,0.0031768056061533185,0.0027619762246456313,0.0012908440472515106,0.006661573118461941,scene0314_00
3,virtual,10.0,0.0039539576418644645,0.0037634579603168816,0.003648398934352584,0.0018552696381400943,0.0062559754010506246,scene0314_00
4,mono,10.0,0.004254578770027537,0.00378598335575105,0.0032671912066220186,0.001357946663799736,0.008271624063925493,scene0314_00
