,method,mean,std,max,min,scene
0,mono-gt,0.016099421183268226,0.007485772624963923,0.03533442815144857,0.010457436243693033,scene0655_01
1,mono,0.013929088910420736,0.0030168789129816982,0.021460294723510742,0.010859966278076172,scene0655_01
2,virtual-gt,0.01567675272623698,0.0035772934601049043,0.02255535125732422,0.011754035949707031,scene0655_01
3,virtual,0.0127975066502889,0.0039183652367349,0.02345101038614909,0.009874582290649414,scene0655_01
4,global,0.021478931109110515,0.0024334335576497498,0.027144908905029297,0.018373807271321613,scene0655_01
5,per-class,0.022488204638163246,0.002407140298011862,0.02832508087158203,0.019419193267822266,scene0655_01
