,method,pairs,trans_rmse,trans_mean,trans_median,trans_std,trans_min,trans_max,rot_rmse,rot_mean,rot_median,rot_std,rot_min,rot_max,scene
0,per-class,100.0,0.005742400817918301,0.004948378200405172,0.005382889862933032,0.002913458958353239,0.0,0.012436701220739338,0.14546717615921087,0.12762901181536532,0.12845000380442728,0.06979634644049175,0.0,0.28719027992879465,scene0655_01
1,global,100.0,0.005753430171159618,0.00493700874337401,0.005506350728537969,0.002954302523821549,0.0,0.01193633507814536,0.14769027810133956,0.12868187727904057,0.12240054886452362,0.07248029184263101,0.0,0.3050219719151724,scene0655_01
2,virtual,100.0,0.006265866720776246,0.005384435331048862,0.004776067765504227,0.0032043869764150647,0.0,0.012773676583570018,0.11498045497516614,0.10099279407958606,0.10113511117561085,0.05496204710112489,0.0,0.22458743452822827,scene0655_01
3,virtual-gt,100.0,0.0060001414057006056,0.0053817557734289895,0.0056247643283125065,0.0026529227333759744,0.0,0.01105581145871351,0.13534809487249821,0.12212749066906414,0.12789117132729663,0.05834282219214446,0.0,0.22323670706280305,scene0655_01
4,mono,100.0,0.005886982630574689,0.005061507154978569,0.005417829482304601,0.003006025798220091,0.0,0.012544130082907745,0.14371641460631698,0.12523098601767876,0.11683915567677966,0.07050939324899956,0.0,0.29353321875939503,scene0655_01
5,mono-gt,100.0,0.006219305183704044,0.00554914079659567,0.005575646951650485,0.0028083435309102732,0.0,0.012525904490941348,0.16552773401330065,0.14649452029053633,0.14455408818184878,0.07706352089298567,0.0,0.32188647195866243,scene0655_01
