,method,pairs,abs_trans_rmse,abs_trans_mean,abs_trans_median,abs_trans_min,abs_trans_max,scene
0,per-class,10.0,0.003923137624278304,0.0032988074909354732,0.0028695616313795403,0.0001845980210784614,0.0071973146884235575,scene0655_01
1,global,10.0,0.003929635514073952,0.003367240397369778,0.0029136184665197475,0.0005457495985992796,0.006858114510545329,scene0655_01
2,virtual,10.0,0.004303881958446841,0.003828323180039023,0.0031334160469186204,0.0013980430060245668,0.007993586399014355,scene0655_01
3,virtual-gt,10.0,0.004096209175096008,0.0038436952323986653,0.0038543050861083866,0.0011746856647160393,0.005944340279527039,scene0655_01
4,mono,10.0,0.004089588804396478,0.0035040587511038445,0.0031925448599858584,0.0004570345788768054,0.0075163199248092704,scene0655_01
5,mono-gt,10.0,0.004186354019572122,0.0038702751418747162,0.003336481794945318,0.0016551062651220378,0.006734421147838944,scene0655_01
